,Unnamed: 0,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
110,110,114,1,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"You are always in control of your actions and thoughts, so why do you think that you can't stop smoking?",Smoking helps you think.,0
111,111,115,1,Please describe a time where you missed your routinely smoke, When I have none left at night time and the shop is shut. I feel as if I wont be able to cope. I certainly don't sleep well.,"You are not alone in this feeling of being unable to function normally when smoking regularly. It can affect all aspects of life, including work, relationships, health and wellbeing. The more often you smoke, the greater the impact. If you want to quit, there's no better way than by quitting for good!",Not smoking makes you agitated.,0
112,112,116,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more of a positive and determined attitude. ,"You are trying hard, but you just can't seem to get rid of that cigarette habit. ",Feeling positive and determined helped you to not smoke.,1
113,113,117,1,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, When I was having visitors around for dinner. ,"You may have been concerned that your guests would notice the cigarette odor, but they didn't. ",You're worried about how the smell of smoking affects others.,1
114,114,118,1,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my children's friends come over to our home.,Your concern is that your family will be exposed to cigarette smoke. ,You're worried about how the smell of cigarettes affect others.,1
115,115,119,1,So you think Socializing is good and bad at the same time Please describe a time where you were with other smokers and ended up smoking, When somebody offered me a cigarette I felt obliged to smoke it even though I didn't want one,You feel obligated to smoke because someone else offers you a cigarette. ,You want to smoke if someone offers you one.,1
116,116,120,1,Please describe a time where you were with other smokers and you didn't smoked, When I was trying to cut down on the amount I smoked I reffused to smoke just because they were.,"You don't like people offering you cigarettes, so you refuse them.",You did not smoke even around other smokers.,1
117,117,121,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was determined and more motivated to succed.,"You are still determined, but your motivation is less than before.",You were motivated to not smoke.,1
118,118,122,1,Please express a time where you experienced social stigma but still ended up smoking, When I was the only smoker amongst a group of friends on a night out. I smoked before we went into the theatre and they stood with me.,Your friends supported your decision to stop smoking. ,You are worried about what your friends think of your smoking.,0
119,119,123,1,Please express a time where you experienced social stigma and didn't smoke, Standing outside a church after a wedding. I couldn't see any other smokers and felt too embarrassed to smoke because of this.,"Your fear is that people will judge you for being an ex-smoker, even though it's not true! It's important to remember that there are many reasons why someone may quit smoking – including health concerns or just wanting to stop altogether. If you're concerned about how others perceive you as a former smoker, try talking to them first.",Being around non-smokers made you not smoke.,0
120,120,124,1,Please describe a time where you experienced stress and ended up smoking, When I couldn't  find the tv remote anywhere. It stressed me out so I smoked instead.,"Stress is an emotion that can be triggered by many things, but it's usually caused by something external (like being in a bad mood). Smoking makes your body feel more relaxed which helps relieve stress.",Smoking helped you relieve stress.,1
121,121,125,1,Please describe a time where you experienced stress and didn’t end up smoking," After over spending in the supermarket, I didn't smoke because I thought It would be counter productive",Stress is an inevitable part of life. ,You're worried that smoking will cause stress.,1
122,122,126,1,"I appreciate you confirming my understanding I understand, you like the flavour of cigarettes I would like to know more about your reasoning, is it possible to use more words in your sentences Are there other things that are good about smoking? If so, please tell me", It helps me feel less stressed.,Your response was very clear. ,Smoking relieves your stress.,0
123,0,4,2,"Okay, so you associate Smell as something negative about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", My stepdad hates the smell of cigarettes so I do my best to try to avoid smelling like smoke even though I am a smoker. Mainly out of respect and understanding that it's not the best smell in the world.,You associate Smoking with bad smells. ,You think smoking has a bad smell and it affects the people around you.,1
124,1,5,2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When I was going to my doctor. I refrained from smoking on the way so she wouldn't smell it and be reminded to lecture me about smoking.,You are afraid of being reminded by your doctor to talk about smoking. ,You don't want others to judge your smoking habits.,1
125,2,6,2,What is good about smoking?, its more the habit of holding the cigarette and reading outside when i do,Smoking helps you relax and focus on what you are doing. ,Smoking is something you do out of habit.,1
126,3,7,2,"Sorry, I don't understand what you mean by ""its more the habit of holding the cigarette and reading outside when i do "". Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", the rush of the tobacco is relaxing,The nicotine is addictive but not as bad as alcohol or drugs. ,You like how smoking makes you feel.,0
127,4,8,2,"Thank you for confirming my understanding I see, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences What else do you find negative about smoking?", the sheer price now is becoming very hard to pay,It's not just the cost anymore. ,The cost of smoking is a concern for you.,1
128,5,9,2,"Let me see if I understand, you want to be a good role model for the people close to you Do you have more negative things about smoking? Tell me if you can think of any", Aging or appearance change is always a fear,Your age has nothing to do with your ability as a person. ,You are worried about how smoking affects your appearance.,0
129,6,10,2,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", I recently had a cervical cancer scare,Smoking has caused many problems for you. ,The health effects of smoking concerns you.,1
130,7,11,2,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, i have been trying to kick the habit with vape but so far havent succeeded,Smoking has caused many problems in your life. ,You looked for alternatives to smoking but haven't been successful so far.,0
131,8,12,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i havent been able to completely stop so far i didnt like the feel of the vape in my mouth and it didnt feel the same in my hand,It's hard to say what makes it different than before because there are many factors involved. ,You found an alternative but it was not effective.,1
132,9,13,2,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,You are still addicted to cigarettes despite having tried other methods. ,Smoking is a habit for you.,0
133,10,14,2,Please describe a time where you wanted to enjoy holding a cigarette and didn't end up smoking, i was late for a appointment and couldnt have one before and i got very agitated and twitchy it wasnt a nice sensation,It's hard to imagine how stressful this must be for you. ,Holding a smoke helped you relax.,1
134,11,15,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Like i said above its like hot sweats and feeling very agitated and unable to focus,You are not alone! ,You were agitated by not smoking.,1
135,12,16,2,"Let me see if I recall correctly, so you think of Nicotine dependence as something bad about smoking Please describe a time where you had a compelling feeling to smoke and actually smoked", when i was under a lot of stress after a relations death,"When you thought you might die, you tried to stop smoking. ",Smoking helped you relive stress.,0
136,13,17,2,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, when i have been late and havent had the time but its never good if i do this as it makes me feel really bad,This is an example of how your mind can influence your actions. ,You could not smoke due to time constraints.,0
137,14,18,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,This is an example of how your mind can influence your actions. ,Not smoking made you less focused.,1
138,15,19,2,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,It's hard for smokers who are trying to quit because they don't want to be reminded of their costs. ,You are concerned about the cost of smoking.,1
139,16,20,2,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,It's difficult for you to quit smoking because you don't want to be poor. ,The cost of smoking is a concern for you.,0
140,17,21,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down,Your thoughts on how your life has changed since you stopped smoking. ,Being in control helped you to not smoke.,0
141,18,22,2,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,You tried to do something focused and ended up doing something else. ,Smoking helps you focus.,1
142,19,23,2,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,"You need to be careful with this one. If you don't have any problems focusing then just say ""I'm fine"" or whatever. ",You can sometimes focus without having to smoke.,0
143,20,24,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,It's important not to let your mind get distracted by other thoughts or feelings while focusing on a goal. ,Working on something helps you not smoke.,1
144,21,25,2,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Smoking is stressful for many people. ,Smoking helps you focus.,0
145,22,26,2,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public,You can still have anxiety without being stressed out. ,You don't like smoking in public.,0
146,23,27,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum,Gum is better than cigarettes for relieving stress. ,You found an alternative to smoking to help you relax.,1
147,24,28,2,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas",You are not alone! ,You feel others judge your smoking.,1
148,25,29,2,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later,You felt like people judged you because of how much you smoked. ,You did not smoke because of your friends.,1
149,26,30,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i tried to keep myself distracted by doing things other than routine,Your distraction was distracting people's attention away from you. ,Doing something outside your routine helped you to not smoke.,0
150,27,31,2,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Smoking is one of the most common causes of premature wrinkling in our society. ,Skin aging is a concern of smoking for you.,1
151,28,32,2,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,You are using an exfoliator now that helps with your skin's texture. ,You addressed the side effects of smoking in other ways.,1
152,29,33,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing came to mind that would make this difference. ,You don't remember what helped you not smoke.,1
153,30,34,2,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", i am a mother i never smoke in front of my daughter i go outside and never smoke in front of her,You are trying to avoid being seen as an anti-smoker. ,You're worried about how others will learn from your smoking.,0
154,31,35,2,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,You want to tell people that they are wrong for thinking that smoking is harmful. ,You do not want your kids to start smoking.,0
155,32,36,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,You are trying hard to keep yourself from smoking. ,Keeping yourself distracted helped you to not smoke.,1
156,33,37,2,"Ok, so you associate Routine as something positive about smoking Please describe a time where you smoked routinely without thinking about it", i read a awful lot and have got into the habbit of reading my book outside with a cup of tea.  This i think is the worst thing as i associate it as the habit of doing all together,Smoking is addictive because it makes us feel better than we are. ,Smoking is part of a routine for you.,0
157,34,38,2,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,You are missing out on some good things in life by being absent from your regularly scheduled activities. ,Being busy helped you to not smoke.,0
158,35,39,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,You are more likely to be successful in preventing yourself from smoking if you can change your routine. ,You changed your routine to help you stop smoking.,1
159,36,40,2,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,It's easy for people who don't smoke to detect the scent of tobacco in their clothing. ,You don't like the smell smoking leaves.,1
160,37,41,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are not doing anything wrong. ,You don't like how others perceive your smoking.,0
161,38,42,2,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking causes lung cancer. ,"The cost, health risks, price, and perception are bad things about smoking.",0
162,39,43,2,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,This is an example of thinking about costs while smoking. ,The price of smoking made you stop.,1
163,40,44,2,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,You were afraid of losing your job because of smoking. ,The cost of smoking stopped you from buying cigarettes.,0
164,41,45,2,"From what I gather, it seems that you think Health is something bad about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When a friend was diagnosed with COPD. Thought about my own health,You were concerned for your friends' health. ,Your friend's health made you think about your own smoking.,1
165,42,46,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,You had trouble breathing because of smoking. ,You were concerned for your health.,1
166,43,47,2,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,You thought about how others would perceive your actions. ,You were worried about how others perceived the smell of smoking.,1
167,44,48,2,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your fear of being judged by others led you to continue smoking despite knowing that it would harm your health. ,You had to smoke alone.,0
168,45,49,2,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,Smoking made you more comfortable. ,Smoking relaxes you.,1
169,46,50,2,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,That's nice. ,Smoking helps you be less awkward.,1
170,47,51,2,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,"You are right, smoking does break the ice. ",Smoking helps you be social with other smokers.,1
171,48,52,2,"Sorry, I didn't understand what you said. Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", It helps to start a conversation,Smoking is good at breaking the ice. ,Smoking is a social activity for you.,1
172,49,53,2,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke,"You are right, there's no doubt about this. ",You're worried about how smoking affects others around you.,1
173,50,54,2,Please continue, I get cranky when I can not smoke,I'm sure that's enough information for now. If there are other questions please feel free to ask them and we will try our best to answer as many as possible.,Smoking affects your mood.,0
174,51,55,2,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,Your financial situation has changed since last year. ,You're worried about how smoking affects you financially.,0
175,52,56,2,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out,Your financial situation is affecting your ability to quit smoking. ,The cost of smoking prevented you from smoking.,1
176,53,57,2,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed,"Your clothing smelled bad, not because of your own actions. ",The smell of smoking concerns you.,0
177,54,58,2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,You are concerned that your clothing will be smelly if you don't smoke. ,The smell stopped you from smoking.,1
178,55,59,2,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,"You are thinking about being a good role model, but your actions don't match that goal. ",You were worried about being a good role model.,0
179,56,60,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty,It's hard to remember what makes something different than when you smoked. ,Stopping smoking made you feel good.,0
180,57,61,2,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,It's hard for me to imagine that someone would want to smoke while they are around others who smoke. ,You like to smoke socially.,0
181,58,62,2,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling your friends' breath is fun! ,You don't like the smell of smoke.,0
182,59,63,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not so socialable with the smokers as much,You are more sociable now than before. ,Not smoking made you less social with other smokers.,0
183,60,64,2,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,"Smoking is bad for your health, even if you do run. ",You saw how your health was affected by smoking.,0
184,61,65,2,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, I went hiking and wanted to be able to climb the mountain with my kids and so I did not smoke,"Your decision to stop smoking helped you feel better about yourself, which in turn led to more enjoyment of life. ",You were worried about how smoking affected your health.,1
185,62,66,2,"I get it, you think Nicotine dependence is both good and bad Please describe a time where you had a compelling feeling to smoke and actually smoked", All the time everyday all day ,Your motivation for wanting to smoke was strong enough to overcome your fear of quitting. ,You are always craving a smoke.,1
186,63,67,2,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, I was compelled to have a cigarrette before an interview but refrained,Your desire for a cigarette has been strong enough to overcome any reservations or concerns you may have had about smoking. ,You wanted to smoke when you were stressed but refrained.,0
187,64,68,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I just thought of all the bad things that smoking does and it was enough for me to not smoke,"It's hard to say what makes something ""good"" or ""bad"". ",Thinking about the bad effects of smoking helped you stop.,0
188,65,69,2,Please describe a time where you experienced stress and ended up smoking, whenever I am stressed and pacing the floors I need a cigarrette and can not control my will power,"Stress is what causes people to want to smoke, stress makes them think they are going to die if they don't smoke. ",Being stressed increases your urge to smoke.,0
189,66,70,2,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,"Stress is an addictive behavior, so if you experience stress while trying to quit smoking, then chances are you'll continue to do it even after quitting. ",Thinking about your family stopped you from smoking.,0
190,67,71,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was proud and not disappointed in myself. ,,You felt good that you were able to stop yourself from smoking.,0
191,68,72,2,"Thank you for confirming my understanding Let me see if I understand, you don't like that smoking makes you smell badly I appreciate you making things simple for me, but please use more words in your sentences Can you think of more things that you dislike about smoking? If so, please tell me", I dislike the fact my children worry about me smoking,Your kids are worried because they know how bad it smells. ,You don't like how your smoking affects your family.,1
192,69,73,2,"I appreciate you confirming my knowledge Let me see if I get it, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences Do you have more negative things about smoking? Tell me if you can think of any", The cost of smoking is making life difficult financially,Your opinion on this matter seems very important to me. Please explain why,The cost of smoking is a concern to you.,0
193,70,74,2,"Okay, so you associate Cost as something negative about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", I was behind in paying a bill but spent the money on cigarettes anyway,You were concerned with the financial burden of smoking. ,The cost of smoking is affecting other areas of your life.,1
194,71,75,2,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", My children moaned at me as they thought I would get ill from smoking but I smoked anyway,You were not able to make positive changes for yourself because of the costs associated with smoking. ,You don't like how your children viewed your smoking.,0
195,72,76,2,Please describe a situation where you thought about being a good role model and that cause you not to smoke, After my daughter complained about her clothes smelling of smoke,Your child's clothing smelled of tobacco because she had been exposed to second hand smoke. ,Your daughter's opinion made you stop smoking.,1
196,73,77,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I realised it was affecting my dughter,It is important for parents to know what their child thinks about them smoking. ,You're worried how smoking affects your daughter.,1
197,74,78,2,"Let me see if I recall correctly, so you think of Smell as something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", I worry when working in a school that the teachers and pupils think I smell of smoke,You've been thinking about this for some time now. ,You're worried how the smell of smoke affects those around you.,1
198,75,79,2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,You're concerned with what others might say about your daughter's appearance or behaviour. ,You're worried how your daughter is affected by the smell of smoke.,1
199,76,80,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Because of the effect it was having on my daughter,Your ability to stop smoking helped make things better for your child. ,You're worried about how smoking affected your daughter.,1
200,77,81,2,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When I had a pain in my chest,You're concerned about what will happen if you don't stop smoking. ,You're worried about how smoking affects your health.,1
201,78,82,2,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",You're concerned that smoking will affect your work performance. ,You didn't smoke at work even when you were stressed.,0
202,79,83,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was at work so unable to smoke,It's hard not to think that if you could have prevented yourself from smoking then you would've done it. ,Being at work helped you to not smoke.,0
203,80,84,2,What is it about smoking that makes it good?, It relaxes me and gives me a sense of pleasure. ,Smoking helps you relax. ,Smoking gives you pleasure and relaxes you.,1
204,81,85,2,Thank you for clearing that up Do you have more positive things about smoking? Tell me if you can think of any, It  something to look forward to doing.,You are looking forward to doing what?,Smoking is something you look forward to do.,1
205,82,86,2,Thank you for clearing that up What else do you find positive about smoking?, It helps me focus and concentrate.,I like the way it focuses my mind on what I am trying to accomplish. ,Smoking helps you focus.,1
206,83,87,2,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body.,Smoking helps you relax.,1
207,84,88,2,Thank you for confirming my understanding I understand: smoking relieves you of stress Do you have more positive things about smoking? Tell me if you can think of any, Smoking gives me a pleasurable and happy feeling. ,Smoking makes you feel good. ,Smoking gives you pleasure.,1
208,85,89,2,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to focus better when you smoke. ,Smoking helps you concentrate.,1
209,86,90,2,"I appreciate you confirming my knowledge I see, you feel compelled to smoke Do you have more positive things about smoking? Tell me if you can think of any", I like to smoke while I drink alcohol because it feel great,Smoking is good for your health. ,Smoking feels good for you.,0
210,87,91,2,"Thank you for confirming my understanding OK, so smoking is pleasant and relaxing for you What else do you find positive about smoking?", I like to smoke if I am borred.,You enjoy the feeling of relaxation when you are smoking. ,Smoking helps you to not be bored.,1
211,88,92,2,"I appreciate you confirming my understanding OK, so smoking is pleasant and relaxing for you Are there other things that are good about smoking? If so, please tell me", It  gives me a nice sensation.,Smoking makes you happy. ,Smoking makes you feel good.,1
212,89,93,2,"Sorry, I don't get what you're saying. Can you give more details I'm trying to learn what you say, I'll give you options if I can't figure it out", It  gives me a rush and makes me feel slightly high.,Smoking relaxes your mind and body. ,Smoking makes you feel good.,1
213,90,94,2,"Sorry, I didn't understand what you said. Can you write it in a different way I'm trying to learn what you say, I'll give you options if I can't figure it out", I like to socialise with other people who smoke.,Smoking makes you feel good. ,Smoking helps you socialize.,1
214,91,95,2,"I appreciate you confirming my understanding OK, let me summarize what you said. You said ""I can concentrate more if I am smoking"", which I think is related to Nicotine dependence You also said ""I enjoy the kick"", ""Smoking gives me a pleasurable and happy feeling. "", ""I like to smoke while I drink alcohol because it feel great"", and ""I like to smoke if I am borred."", which I believe is essentially Feeling good You also said ""It  something to look forward to doing."", which I believe is essentially Routine You also said ""I like to socialise with other people who smoke."", which I believe is essentially Socializing You also said ""It relaxes me and gives me a sense of pleasure. "", ""It relaxes my mind and body."", and ""It  gives me a rush and makes me feel slightly high."", which I think is related to Stress OK. Let's now talk about the bad things about smoking What is it about smoking that makes it bad?", Im aware its very bad for your health.,Smoking causes lung cancer.,You're aware of how smoking affects your health.,0
215,92,96,2,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It can give you all sorts of diseases such as lung cancer.,Lung Cancer? That sounds terrible! How do you know this?,You're worried about the health effects of smoking.,1
216,93,97,2,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It makes your clothes and hair smell.,You don't want to be around someone who smokes. ,You don't like how smoking makes you smell.,1
217,94,98,2,"Thank you for confirming my understanding OK, so you smoke when people around you are smoking Do you have more negative things about smoking? Tell me if you can think of any", It can make you a social outcast.,You feel socially isolated because of your habit.,You're worried about how smoking affects you socially.,1
218,95,99,2,"Thank you for confirming my understanding I see, you think that cigarettes are expensive Are there other things that are bad about smoking? If so, please tell me", It gives off a bad example to my children,Your kids will be less likely to start smoking because they won't know what it's like to live without them.,You're worried about being a good role model to your children.,0
219,96,100,2,"I see, you want to be a good role model for the people close to you What else do you find negative about smoking?", Nicotine stains on furniture and walls are not nice,You don't like it when others smell or taste nicotine in their breath. ,You're worried about how smoking affects your surroundings.,1
220,97,101,2,So you think Nicotine dependence is good and bad at the same time Please describe a time where you had a compelling feeling to smoke and actually smoked, When I wake up in the morning.,You have an urge to smoke but don't feel like it's right or appropriate. ,You smoke at the start of your day.,1
221,98,102,2,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,You don't have any desire to smoke when you get home from work. ,You wanted to smoke after a long journey.,0
222,99,103,2,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, Every time I buy a pack of ciggs I think about the cost the craving  makes me continue to smoke.,"You bought cigarettes because they were cheap, not because they made you feel better.",You're worried about the cost of smoking.,0
223,100,104,2,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, When I was saving up to go abroad it was a real intensive not to smoke. ,You were trying to save money for your trip overseas. ,Having a goal helped you to smoke less.,1
224,101,105,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more will power and also I was using nicotine replacement therapy as in chewing gum,Nicotine is addictive. It's hard for people who don't have that problem to quit.,Your willpower and the nicotine replacement helped you to not smoke.,0
225,102,106,2,Please describe a time where you smoked because you needed to feel good, I lost internet connection this evening for ten minutes so I smoked to cheer myself up.,"You felt bad after smoking, but your need to be happy outweighed that feeling. ",Smoking made you feel good.,0
226,103,107,2,Please describe a time where you wanted to feel good and didn't get that through smoking, Most of the time to be honest!,You felt bad about your actions but they weren't harmful or dangerous. ,Smoking doesn't always make you feel good.,0
227,104,108,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Will power and nicotine  replacement chewing gum.,"Nicotine is not going to stop me from smoking, but will help me quit more easily than willpower alone.",Having a replacement and willpower helped you to not smoke.,1
228,105,109,2,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, When my  ex colleague  was diagnosed with  stage three lung cancer.,"My wife had been suffering from asthma since she was young. She started smoking at age 19 because her father smoked. After several years of smoking, she developed bronchitis which led to pneumonia. The doctor told us that she needed surgery but she refused. We decided to try quitting together. In our first attempt, we both failed miserably. But after one month of trying again, we succeeded in stopping cold turkey.",You were worried about the health effects of smoking.,0
229,106,110,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was feelimg good about myself and I had more determination.,"Being in control of your life, being motivated by something other than cigarettes, and having willpower all contributed to me stopping smoking.",Feeling good and having determination helped you to not smoke.,1
230,107,111,2,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, Nearly everyday when I'm around my children,Your desire to help others motivated you to stop smoking. ,Being a good role model makes you want to not smoke.,1
231,108,112,2,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,You are a great role model for your kids! ,You don't like being seen as a smoker.,1
232,109,113,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt like I didnt need to smoke brcause the nicotine gum was working,"Nicotine is an addictive drug, so if you can stop using it, then you will feel better. ",The nicotine gum helped you not smoke.,0
